UID,Drug_Name,Condition,Rating
vho70jcx,Valsartan,Left Ventricular Dysfunction,9
i9tbix2v,Guanfacine,ADHD,8
62gfisc6,Lybrel,Birth Control,5
058r9486,Ortho Evra,Birth Control,8
wich35l7,Buprenorphine / naloxone,Opiate Dependence,9
z3tgnzth,Cialis,Benign Prostatic Hyperplasia,2
1xxrnpg3,Levonorgestrel,Emergency Contraception,1
8ilzm51q,Aripiprazole,Bipolar Disorde,10
wafvnbdu,Keppra,Epilepsy,1
4xocqn6o,Ethinyl estradiol / levonorgestrel,Birth Control,8
q5iylws9,Topiramate,Migraine Prevention,9
nljskxut,L-methylfolate,Depression,10
lfm6erzy,Pentasa,Crohn's Disease,4
lcpp5fim,Dextromethorphan,Cough,4
gjxumrmm,Nexplanon,Birth Control,3
csokkcqq,Liraglutide,Obesity,9
08mep8hm,Trimethoprim,Urinary Tract Infection,9
ejqq2wmi,Amitriptyline,ibromyalgia,9
2eh0bhee,Lamotrigine,Bipolar Disorde,10
76i8yvb4,Nilotinib,Chronic Myelogenous Leukemia,10
omtmy9z6,Atripla,HIV Infection,8
2cerplno,Trazodone,Insomnia,10
t3tm6f9p,Etonogestrel,Birth Control,9
57sp9d9l,Etanercept,Rheumatoid Arthritis,10
tiyjmih7,Tioconazole,Vaginal Yeast Infection,1
30kwl4rj,Azithromycin,Chlamydia Infection,7
1znuxoj5,Eflornithine,Hirsutism,10
pxpujrhx,Daytrana,ADHD,10
2j4z5rp8,Ativan,Panic Disorde,6
kxe65hd7,Imitrex,Migraine,8
8elmjre9,Azithromycin,,10
l82aakrk,Sertraline,Depression,8
gfiukh90,Toradol,Pain,10
mkoyc7wh,Tioconazole,Vaginal Yeast Infection,1
lj0ar2v5,Viberzi,Irritable Bowel Syndrome,8
w49x7kca,Mobic,Osteoarthritis,10
phmm596b,Dulcolax,Constipation,1
iedh762s,Morphine,Pain,8
2179jaes,MoviPrep,Bowel Preparation,2
ahdz5078,Trilafon,Psychosis,9
pl7t3hca,Fluconazole,Vaginal Yeast Infection,8
km0b1z64,Contrave,Obesity,8
ois9fiuq,Clonazepam,Panic Disorde,9
9pa51d9x,Metaxalone,Muscle Spasm,5
mudv1ejd,Venlafaxine,Depression,4
