UID,Drug_Name,Condition,Rating,Results
vho70jcx,Valsartan,Left Ventricular Dysfunction,9,1
i9tbix2v,Guanfacine,ADHD,8,1
62gfisc6,Lybrel,Birth Control,5,0
058r9486,Ortho Evra,Birth Control,8,1
wich35l7,Buprenorphine / naloxone,Opiate Dependence,9,1
z3tgnzth,Cialis,Benign Prostatic Hyperplasia,2,0
1xxrnpg3,Levonorgestrel,Emergency Contraception,1,0
8ilzm51q,Aripiprazole,Bipolar Disorde,10,1
wafvnbdu,Keppra,Epilepsy,1,0
4xocqn6o,Ethinyl estradiol / levonorgestrel,Birth Control,8,1
q5iylws9,Topiramate,Migraine Prevention,9,1
nljskxut,L-methylfolate,Depression,10,1
lfm6erzy,Pentasa,Crohn's Disease,4,0
lcpp5fim,Dextromethorphan,Cough,4,0
gjxumrmm,Nexplanon,Birth Control,3,0
csokkcqq,Liraglutide,Obesity,9,1
08mep8hm,Trimethoprim,Urinary Tract Infection,9,1
ejqq2wmi,Amitriptyline,ibromyalgia,9,1
2eh0bhee,Lamotrigine,Bipolar Disorde,10,1
76i8yvb4,Nilotinib,Chronic Myelogenous Leukemia,10,1
omtmy9z6,Atripla,HIV Infection,8,1
2cerplno,Trazodone,Insomnia,10,1
t3tm6f9p,Etonogestrel,Birth Control,9,1
57sp9d9l,Etanercept,Rheumatoid Arthritis,10,1
tiyjmih7,Tioconazole,Vaginal Yeast Infection,1,0
30kwl4rj,Azithromycin,Chlamydia Infection,7,0
1znuxoj5,Eflornithine,Hirsutism,10,1
pxpujrhx,Daytrana,ADHD,10,1
2j4z5rp8,Ativan,Panic Disorde,6,0
kxe65hd7,Imitrex,Migraine,8,1
8elmjre9,Azithromycin,,10,1
l82aakrk,Sertraline,Depression,8,1
gfiukh90,Toradol,Pain,10,1
mkoyc7wh,Tioconazole,Vaginal Yeast Infection,1,0
lj0ar2v5,Viberzi,Irritable Bowel Syndrome,8,1
w49x7kca,Mobic,Osteoarthritis,10,1
phmm596b,Dulcolax,Constipation,1,0
iedh762s,Morphine,Pain,8,1
2179jaes,MoviPrep,Bowel Preparation,2,0
ahdz5078,Trilafon,Psychosis,9,1
pl7t3hca,Fluconazole,Vaginal Yeast Infection,8,1
km0b1z64,Contrave,Obesity,8,1
ois9fiuq,Clonazepam,Panic Disorde,9,1
9pa51d9x,Metaxalone,Muscle Spasm,5,0
mudv1ejd,Venlafaxine,Depression,4,0
d0y1hs88,Ledipasvir / sofosbuvir,Hepatitis C,10,1
0abutzb3,Ledipasvir / sofosbuvir,Hepatitis C,9,1
jopeo9gs,Symbyax,Bipolar Disorde,8,1
4it5c9n2,Tamsulosin,Overactive Bladde,4,0
pt0kes0s,Doxycycline,Urinary Tract Infection,7,0
9e3z9xdd,Dulaglutide,"Diabetes, Type 2",10,1
9y8r277c,Intuniv,ADHD,1,0
7xmn8yvc,Buprenorphine,Pain,8,1
jhwjh12k,Qvar,"Asthma, Maintenance",1,0
h89scli5,Opdivo,Non-Small Cell Lung Cance,1,0
iisqysqm,Aripiprazole,Schizophrenia,10,1
j5gjipdn,Pyridium,Dysuria,1,0
jzzhpw7h,Latuda,Bipolar Disorde,8,1
yqa7ggqg,Bupropion,Smoking Cessation,10,1
8xcplab3,Implanon,Birth Control,2,0
v7asfaxc,Effexor XR,Anxiety,6,0
vqtx98xm,Drospirenone / ethinyl estradiol,Birth Control,3,0
pgfdy23h,Buprenorphine,Pain,10,1
p3b4yk5d,Implanon,Birth Control,1,0
g55d5ijx,NuvaRing,Birth Control,5,0
vok1dni9,Prepopik,Bowel Preparation,9,1
jwesa12u,Tretinoin,Acne,10,1
npd2qf7m,Effexor XR,Depression,10,1
6riyqn4k,Gildess Fe 1 / 20,Birth Control,2,0
uw76y16g,Ethinyl estradiol / norgestimate,Acne,9,1
ifla4aix,Elbasvir / grazoprevir,Hepatitis C,10,1
v4spn75m,Clomiphene,emale Infertility,10,1
43cxzudl,Docusate / senna,"Constipation, Acute",8,1
2fcl6f4i,Amitiza,"Constipation, Drug Induced",10,1
bqwmx5dy,Etonogestrel,Birth Control,10,1
eohjkqc4,Nexplanon,Birth Control,6,0
t2azgyp8,Sildenafil,Erectile Dysfunction,10,1
bi49e7ne,Lo Loestrin Fe,Birth Control,2,0
e5p4metz,Ledipasvir / sofosbuvir,Hepatitis C,10,1
qw2tsrxm,Sertraline,Panic Disorde,10,1
7a5nxxar,Oxcarbazepine,Trigeminal Neuralgia,7,0
8b2ookby,Wellbutrin,Depression,4,0
ahs2wdus,NuvaRing,Birth Control,7,0
ts91ivwf,Levonorgestrel,Birth Control,1,0
2vecg9op,Phillips' Milk of Magnesia,Constipation,9,1
2f9nc2to,Nature-Throid,Underactive Thyroid,1,0
8iet67u3,Lithium,Bipolar Disorde,10,1
wtarrhf0,Oxycodone,Chronic Pain,8,1
ahrrphm8,Cialis,Benign Prostatic Hyperplasia,10,1
8kced06y,Estradiol,Atrophic Vaginitis,9,1
sjicr24s,Sronyx,Birth Control,3,0
bf4qpsy7,Augmentin XR,Skin and Structure Infection,9,1
v4mbry22,Monistat 7-Day Combination Pack,Vaginal Yeast Infection,8,1
3qds5j1p,Plan B One-Step,Emergency Contraception,9,1
t9bt70f2,Alprazolam,Tinnitus,10,1
f1ixbzx8,Fluoxetine,Major Depressive Disorde,2,0
o47v5vgw,Aripiprazole,Depression,4,0
tyhwtt7j,NuvaRing,Birth Control,5,0
mt8h4rk5,Spironolactone,Acne,9,1
px70bft2,Fluvoxamine,Anxiety and Stress,9,1
59rcogfc,Macrobid,Urinary Tract Infection,1,0
jjkf5gg3,Lurasidone,Schizophrenia,8,1
j99qg2a0,Adapalene / benzoyl peroxide,Acne,8,1
u2w2bb2p,Brimonidine,Rosacea,1,0
qpaig5tm,Amlodipine / olmesartan,High Blood Pressure,10,1
5jai745w,Loestrin 24 Fe,2</span> users found this comment helpful.,3,0
hab8h5gz,Linaclotide,Irritable Bowel Syndrome,8,1
9d8k7b23,Mirtazapine,Anxiety,8,1
t1iagum7,Acetaminophen / hydrocodone,Pain,8,1
3e2soc6w,Isotretinoin,Acne,7,0
ykofrn9i,Ropinirole,Restless Legs Syndrome,10,1
n93cm6ws,Zoledronic acid,Osteolytic Bone Metastases of Solid Tumors,10,1
4pgish5x,Lamictal,Bipolar Disorde,9,1
k2qj6o7j,Levonorgestrel,Birth Control,10,1
u8goc7io,Buspirone,Anxiety,9,1
2ygtr69i,Propranolol,Anxiety,10,1
zgdbvfi4,Focalin,ADHD,9,1
ely200x3,Ethinyl estradiol / levonorgestrel,Birth Control,9,1
si486lqi,Jolivette,Birth Control,8,1
x22rc60j,Levofloxacin,Bronchitis,8,1
mbdj3r0m,Phentermine / topiramate,Obesity,9,1
635lbedk,Cephalexin,Skin or Soft Tissue Infection,1,0
iu2ziccm,Aviane,Birth Control,9,1
lzda8kyn,Etonogestrel,Birth Control,3,0
x443k65a,Saxenda,Obesity,1,0
rr5qhsam,Clomipramine,Obsessive Compulsive Disorde,1,0
yd7tu7u4,Medroxyprogesterone,Endometriosis,9,1
ac00tai9,Ethinyl estradiol / levonorgestrel,Birth Control,10,1
xxcx7hg5,Aczone,Acne,8,1
90tccg03,Nicoderm CQ,Smoking Cessation,8,1
81j4347d,Dextromethorphan,Cough,1,0
mm4ngrla,Naltrexone,Opiate Dependence,6,0
e85xdrcw,Restasis,Keratoconjunctivitis Sicca,9,1
p5aj5k2g,Depo-Provera,Birth Control,6,0
ua6aeg5a,Olanzapine,Bipolar Disorde,9,1
nfpw89fu,Oxytrol,Overactive Bladde,9,1
dpcpg5c1,Fentanyl,Breakthrough Pain,6,0
vpcx2t3w,Epiduo,Acne,3,0
1qniriu0,Etonogestrel,Birth Control,9,1
2wshgzjk,Levonorgestrel,Birth Control,2,0
gmi1ewc2,Epiduo,Acne,10,1
gxstlzuk,Accutane,Acne,9,1
rv26qfmf,Xanax,Panic Disorde,10,1
a1mcnta5,Desvenlafaxine,Depression,10,1
cszqykpu,Levonorgestrel,Birth Control,3,0
vbgf50os,Keppra,Seizures,9,1
aeuy92bx,Dulaglutide,"Diabetes, Type 2",9,1
eecyduzq,Morphine,Chronic Pain,5,0
uqls3p01,Urea,,10,1
rj9k9awy,Lyrica,Neuropathic Pain,1,0
vspnuxz9,Fluoxetine,Depression,1,0
mjhez5im,Phenergan,Sedation,8,1
f3h74j1n,Etonogestrel,Birth Control,5,0
b4mdiont,Bupropion,Depression,4,0
4sw1hrnf,Ethinyl estradiol / norgestimate,Birth Control,5,0
bnv38la3,Nexplanon,Birth Control,4,0
xo5u02d7,Loestrin 21 1 / 20,Menstrual Disorders,8,1
cetdqgff,Etonogestrel,Birth Control,9,1
7i52vltp,Tamsulosin,Benign Prostatic Hyperplasia,5,0
f5yjz0zp,Loratadine,Allergic Rhinitis,10,1
xv42jvd6,Cardura XL,Benign Prostatic Hyperplasia,10,1
kctgr529,Viibryd,Major Depressive Disorde,10,1
8kdtpwbv,Mirena,Birth Control,9,1
iat80b4l,Ethinyl estradiol / norelgestromin,Birth Control,10,1
9fd5a49o,Propofol,Anesthesia,10,1
ecu579el,Camphor / menthol,Pain,1,0
mtv80pjo,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,1,0
6ojmmmuj,Lorcaserin,Obesity,10,1
uqkcbs2s,Insulin degludec,"Diabetes, Type 1",1,0
xtmozkf6,Trintellix,Depression,5,0
vpouyyev,Lupron Depot,Endometriosis,6,0
4i97fpzc,Levonorgestrel,Birth Control,10,1
jawwrsa5,Zanaflex,Muscle Spasm,10,1
7vrm081c,Miconazole,Vaginal Yeast Infection,1,0
py6qu4tl,Opana ER,Pain,2,0
g5wpa2ee,Aczone,Acne,10,1
ra3t6kmm,Provera,Abnormal Uterine Bleeding,10,1
tovfd9lw,Lurasidone,Bipolar Disorde,7,0
77nsidzc,Phentermine / topiramate,Weight Loss,8,1
q14x0i2c,Linaclotide,"Constipation, Chronic",6,0
kevrp8rg,Diflucan,Vaginal Yeast Infection,10,1
45g12waw,Ibrance,"Breast Cancer, Metastatic",9,1
7axgotby,Liraglutide,"Diabetes, Type 2",5,0
y4we4rrk,Reclipsen,Birth Control,6,0
ptbk69rk,Bupropion,Depression,10,1
kh06egig,Lisinopril,High Blood Pressure,10,1
dnxhtbxn,Ethinyl estradiol / norgestimate,Birth Control,3,0
25uy4lrw,Empagliflozin,"Diabetes, Type 2",10,1
a8ig607t,Naproxen,Period Pain,3,0
0qwwycnc,Amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection,2,0
juiomzb3,Mirena,Birth Control,10,1
2g8rfzf4,Metoprolol,Atrial Fibrillation,10,1
pm8usc55,Naloxegol,"Constipation, Drug Induced",3,0
hwvr0v8c,Alprazolam,Anxiety,10,1
xetzg7gp,Skyla,Birth Control,6,0
emr0eh0i,Leuprolide,Uterine Fibroids,1,0
mm2sp48e,Provera,4</span> users found this comment helpful.,1,0
f87h5qh6,Ulipristal,Emergency Contraception,10,1
6u9q0ox9,Benzonatate,Cough,1,0
5dd89gnm,Nexplanon,Birth Control,4,0
uqgrjjwp,Sulfamethoxazole / trimethoprim,Kidney Infections,5,0
er3zmcz2,Eletriptan,Migraine,10,1
pd70i3d8,Brimonidine,Rosacea,1,0
172tl3fb,Escitalopram,Generalized Anxiety Disorde,7,0
zbqbogwu,Dulera,Asthma,5,0
5td4p2gd,Metoprolol,High Blood Pressure,2,0
o7pz0rst,Prempro,Postmenopausal Symptoms,8,1
qng05jry,Gemfibrozil,High Cholesterol,9,1
7n8p9okf,Depakote,Bipolar Disorde,1,0
z3x0c37y,Testosterone,"Hypogonadism, Male",10,1
xa6kwguo,Zomig,Migraine,7,0
bgdcm1i1,Vyvanse,ADHD,9,1
mpb4fy16,Medroxyprogesterone,Abnormal Uterine Bleeding,8,1
6r6zwfoy,Tioconazole,Vaginal Yeast Infection,10,1
5xki1ulf,Solodyn,Acne,8,1
w5t1ni4l,Efavirenz / emtricitabine / tenofovir,HIV Infection,10,1
w4zad1zt,Jolivette,Birth Control,8,1
